관측지점별(1),평균기온 (℃),평균최고기온 (℃),평균최저기온 (℃),최고기온 (℃),최고기온일자,최저기온 (℃),최저기온일자,합계강수량 (mm),평균풍속 (m/s),최대풍속 (m/s),최대풍속일자,최대순간풍속 (m/s),최대순간풍속일자,평균상대습도 (%),최소상대습도 (%),최소상대습도일자,평균이슬점온도 (℃),평균증기압 (hPa),합계일조시간 (hr),합계수평면일사 (MJ/㎡),평균전운량 (할),평균현지기압 (hPa),평균해면기압 (hPa),최고해면기압 (hPa),최고해면기압일자,최저해면기압 (hPa),최저해면기압일자,평균지면온도 (℃)
속초,16.1,20.2,12.4,25.0,2024-10-01,8.1,2024-10-24,143.2,2.1,12.6,2024-10-23,26.4,2024-10-23,74,31,2024-10-02,11.2,13.6,131.8,291.84,5.7,"1,018.2","1,020.3","1,036.5",2024-10-20,999.5,2024-10-23,15.5
북춘천,14.0,20.1,8.9,24.7,2024-10-16,3.9,2024-10-21,68.5,0.9,5.8,2024-10-19,12.3,2024-10-19,82,19,2024-10-16,10.6,13.0,165.7,343.41,5.8,"1,009.6","1,021.1","1,035.1",2024-10-20,"1,009.2",2024-10-23,16.6
철원,13.5,19.9,8.3,24.3,2024-10-17,3.4,2024-10-25,66.7,0.9,5.1,2024-10-23,11.5,2024-10-23,84,27,2024-10-16,10.3,12.8,167.1,338.82,4.8,"1,002.6","1,021.2","1,034.9",2024-10-20,"1,009.4",2024-10-22,15.8
동두천,14.4,20.7,9.5,24.9,2024-10-17,3.8,2024-10-24,57.2,0.7,4.6,2024-10-23,10.3,2024-10-23,84,23,2024-10-04,11.3,13.7,157.7,352.74,4.7,"1,006.7","1,020.5","1,034.3",2024-10-20,"1,009.2",2024-10-01,16.5
파주,13.8,20.4,8.8,24.7,2024-10-17,2.7,2024-10-24,52.4,1.0,4.9,2024-10-01,10.7,2024-10-23,85,32,2024-10-02,10.9,13.3,160.8,356.24,4.7,"1,017.4","1,021.1","1,034.7",2024-10-20,"1,009.6",2024-10-01,17.2
대관령,10.2,16.1,5.1,21.2,2024-10-12,-1.2,2024-10-31,163.6,1.7,16.2,2024-10-23,26.8,2024-10-23,87,24,2024-10-17,7.8,10.8,146.0,321.05,5.9,932.5,"1,022.2","1,037.3",2024-10-20,"1,007.3",2024-10-23,12.0
춘천,14.5,19.8,10.2,24.0,2024-10-16,5.4,2024-10-21,64.9,1.2,6.7,2024-10-20,10.9,2024-10-23,79,25,2024-10-16,10.4,12.8,135.2,332.01,5.6,"1,011.4","1,020.5","1,034.5",2024-10-20,"1,008.6",2024-10-23,16.7
백령도,16.3,19.4,13.8,22.7,2024-10-01,10.8,2024-10-23,113.8,3.6,15.4,2024-10-19,22.0,2024-10-19,70,22,2024-10-03,10.3,13.0,212.1,415.35,4.4,"1,015.2","1,019.5","1,031.6",2024-10-20,"1,008.2",2024-10-22,16.4
북강릉,15.7,20.0,11.9,23.6,2024-10-01,8.4,2024-10-29,163.1,0.9,7.8,2024-10-23,17.4,2024-10-23,77,28,2024-10-02,11.3,13.7,144.0,302.46,5.6,"1,011.0","1,019.9","1,036.0",2024-10-20,"1,001.5",2024-10-23,16.1
강릉,16.7,20.8,13.1,24.4,2024-10-12,9.3,2024-10-31,167.4,1.9,12.2,2024-10-23,23.0,2024-10-23,74,28,2024-10-02,11.6,13.9,142.4,300.64,5.8,"1,017.2","1,020.4","1,036.5",2024-10-20,"1,003.2",2024-10-23,16.1
동해,16.2,21.1,12.3,25.1,2024-10-01,7.8,2024-10-24,122.4,2.3,11.6,2024-10-23,23.9,2024-10-23,79,33,2024-10-02,12.1,14.4,132.9,306.60,5.9,"1,015.6","1,020.4","1,036.2",2024-10-20,"1,002.9",2024-10-23,16.6
서울,16.7,21.4,12.7,25.7,2024-10-17,7.1,2024-10-24,74.0,2.0,8.0,2024-10-23,13.6,2024-10-19,70,26,2024-10-12,10.6,13.1,166.4,367.11,4.7,"1,009.2","1,019.3","1,032.7",2024-10-20,"1,008.7",2024-10-18,17.7
